ID,TITLE,LOCATION,SUMMARY
https://kr.indeed.com/viewjob?jk=73f619e964a56a10,[전문연구요원] ML/DL 연구원 및 SW 개발자,서울 서초구,"운영 경험 - (우대) Restful API 개발 경험 - (우대) React, Angular.js, GraphQL 개발 경험 - (우대) Full... 프로세스 참여 경험 - (우대) React, Vue 등 최신 프레임워크..."
https://kr.indeed.com/viewjob?jk=3f8744d2b7cc0adb,플랫폼 자바웹 프론트/백엔드 시스템 개발자,서울 강남구,"자바웹개발백엔드) 담당업무 : 플랫폼 서비스 모듈/어드민 개발 필요기술 : JAVA/JSP,Javascript, React Jquery, Spring Framework, Restful API [근무시간 및 형태] 주 5일 근무..."
https://kr.indeed.com/viewjob?jk=dbb7a03d38539423,웹 개발 정규직,제주 제주시,"자격요건 인원 웹 기획 및 개발 행부케 웹 서비스 개발 [자격요건] 실서비스 개발 및 운영 경험 이 있으신분 React, Next.js, ES6+, HTML5, CSS3 개발 경험 이 있으신분 상태관리(Redux ,Saga..."
https://kr.indeed.com/viewjob?jk=fdd1ec500461c093,"프론트엔드, 백엔드 개발 경력 정규직",서울 강남구,"레임워크 사용 능력 (jQuery, React, Vue, Angular 등... JAVA, TypeScript, Python 등) l Node & React 스택의 개발자 l Spring Framework 및 오픈소스 활용 경험..."
https://kr.indeed.com/viewjob?jk=fba3170b3b310b1d,하이브리드 앱개발 정규직,서울 구로구,경험 - Kotlin 프로그래밍 지식 - React Native 개발 경험... Swift를 이용한 iOS 개발 경험 - Kotlin 프로그래밍 지식 - React Native 개발 경험 - Hybrid App 개발 경험 00 명...
https://kr.indeed.com/viewjob?jk=445b70bb6b9fd776,플랫폼 프론트엔드 개발자 모집,성남 판교역,"자격 학력 : 무관 경력기간 : 3년 ~ 필수조건 • Front-end 개발/운영 경험 3년 이상 • SPA( React, Vue.js 등) 를 활용한 Front-end 설계/개발 경험 보유 • JavaScript 및 HTML..."
https://kr.indeed.com/viewjob?jk=a5d78bea5463e38e,제품/솔루션 개발직 신입/경력,서울 노원구,"javascript 개발자 나. (당사 솔루션 기반) 테스트자동화 개발 및 제반 수명업무 (신입/경력) - react, python, javascript 개발자 3. 참고 - 사무실: 본사(인덕대)와 공유오피스(종로) 2곳..."
https://kr.indeed.com/viewjob?jk=ef847388cd119b0b,Cross Border Ecommerce (Korea) - Team As...,서울,various department on process improvement Able to adapt and react quickly to changing needs and business decisions Other ad...
https://kr.indeed.com/viewjob?jk=59c9ee6a635c251a,React Native Developer,서울 마포구,자격요건] • React Native 개발에 능숙한 분 • REST API를 이용한 클라이언트 개발 경험이 있는 분 • React Native 개발... 개발해 본 경험이 있는 분 • React로 웹 Front-end를 실무...
https://kr.indeed.com/viewjob?jk=2dbe4c7e2066d839,"css, 웹퍼블리셔(HTML코딩) 외 경력 정규직",서울 강남구,"자격요건 담당업무 자격요건 인원 [담당업무] 웹퍼블리싱 및 UI개발(Html5,CSS,Javascript) - React,Vue 환경에서의 마크업에 대한 이해를 기반 - UI 구현 - 소스 버전관리 (SVN,GIT등) 경험을..."
https://kr.indeed.com/viewjob?jk=c58df1061d490778,[카카오 클라우드] 컨테이너 클라우드 개발자 모집,성남 판교역,"동화 경험 오픈소스 소프트웨어에 대한 코드 레벨 트러블 슈팅 경험 퍼블릭 클라우드 사용 경험 golang, react, shell script, ansible 사용 경험 필독사항 ※ 카카오 기술 직군의 경우, 개발 경력..."
https://kr.indeed.com/viewjob?jk=ef33074c2e45e2b6,"웹 프론트엔드 개발자 (산업기능요원, 전문연구요원)",서울 송파구,"SASS), Javascript(ES2015+) - 주요 라이브러리: Webpack, Babel, ESLint, React, Vue, Redux, Redux-Saga - 업무도구: Git, Github, AWS, Jira..."
https://kr.indeed.com/viewjob?jk=bb21c13e3bc6193f,주식회사 내방패밀리 웹 & 앱 개발 직무,서울 서초구,"Swift 이해도가 높은 자 - JAVA, JS, Node.JS, Python 이해도가 높은 자 - React, Vue, Angular 이해도가 높은 자 1 명 근무조건 고용형태: 정규직 근무부서: 개발팀 급여조건: 연봉..."
https://kr.indeed.com/viewjob?jk=9ba2af0dadae83c3,프론트엔드 웹 개발자,서울 강남구,"자격요건(필수), 어떤 조건이 필요한가요? 기본적인 자료구조, 알고리즘 및 컴퓨터 사이언스에 대한 이해 React, Angular 등의 frontend framework 사용 경험 (+자유자재로 다룬다) Webpack 등의..."
https://kr.indeed.com/viewjob?jk=fb13a51ba8d08591,[Clova CIC] 클로바노트 서비스 및 음성인식 엔진 개발자 (경력),서울,최소 ES6 이상)/Typescript 기본 지식 보유하신 분 - HTML/CSS 기본 지식 보유하신분 - React/Next.js 로 SPA 개발 경험이 있으신 분 - Node.js/Deno/MongoDB 개발 및 운영...
https://kr.indeed.com/viewjob?jk=44555f028d57be1e,APP 개발자(react native),과천 과천시,폼을 위한 React Native 모바일 앱 개발 - React 기반 프로... React 기반프로토타입웹사이트제작 자격요건 - 개발경력최소 3년이상 - 최소 1년 이상 React Native 개발 경험 또는 React 전문...
https://kr.indeed.com/viewjob?jk=3b9719a191ef0273,UI마크업 개발자(),성남 판교역,자 - 적극적이고 책임감 있는 자 - 다양한 디바이스 크로스 브라우징 기술력을 보유한 자 - vuejs/ react/bootstrap 등 최신 FE 환경에 대한 마크업 경험자 - javascript 활용 가능자 본...
https://kr.indeed.com/viewjob?jk=00e81fc701933452,세계화 플랫폼 앱&웹 개발자,서울 강남구,"래밍, 앱개발 [우대사항] 전공계열: 공학계열 우대사항: 인근거주자 - Javascript에 능숙 하신분 - React를 이용한 웹 사이트 운영 혹은 개발 경험이 있으신 분 - 커뮤니티 서비스 (게시판 형 커뮤니티, 당근마켓..."
https://kr.indeed.com/viewjob?jk=3bafdba72ed14ee9,"다음 첫화면,뉴스,스포츠,연예,1boon 유저웹서비스 개발자 모집",성남 판교역,"사용 경험 Kotlin 개발 경험 실시간 데이터 처리 경험 React 프레임워크 환경 경험자 코드 리팩토링을 즐기시는 분 프론트엔드의 경우 ES6, React, Webpack 으로 Single-page Application..."
https://kr.indeed.com/viewjob?jk=89f3b0bb67aad471,올리브 핀테크 함께 일하실 CTO,서울 서초구,"Web-Server Basic, MVC or MVVM, other JS Frameworks(Backbone, React JS) o - 코드의 더 나은 구조와 성능, 그리고 가독성을 위해 연구하고 효율적인 개발 프로세스를..."
https://kr.indeed.com/viewjob?jk=edbfff4e74f35ca7,[TmaxWAPL/R&D] WAPL 제품 웹 프론트엔드 개발자 경력,성남 분당구,"React 기반 기술 보유 및 관련 프로젝트 경험 우대사항 - (경력) 10인 이상 규모의 프로젝트 개발 경험 - (경력) MobX, Redux 경험 - (경력) Vue.js 경험 - (경력) 모바일 React Native..."
https://kr.indeed.com/viewjob?jk=8a48c202f69d2877,Front-end 웹/앱 개발자 (병역특례 가능),서울 마포구,"Window App 개발 경험 보유 [담당업무] - Android, React(web) 기반의 UI위주의 구현 - Python(PySide2) 기반의... AWS EC2를 이용한 React App 배포 경험 - Android 및..."
https://kr.indeed.com/viewjob?jk=b9b358af4d75f12a,"마케팅, 웹개발 외 신입/경력 정규직",서울 서초구,"Swift 이해도가 높은 자 - JAVA, JS, Node.JS, Python 이해도가 높은 자 - React, Vue, Angular 이해도가 높은 자 0 명 근무조건 고용형태: 정규직(수습기간3개월) 인근전철역: 서울2..."
https://kr.indeed.com/viewjob?jk=776b38eee1e4edc5,프론트엔드 개발자,대전 유성구,"[직무내용] 1. 프론트엔드 개발자 - React, Redux - TypeScript - ES6 +WebPACK, Babel 등의 기술에 대한 이해와 경험이 있으면 좋습니다 웹 서비스의 실제 프로덕트 출시, 운영 경험이 있으면..."
https://kr.indeed.com/viewjob?jk=dc388b0251e147df,웹프론트엔드 개발자,대한민국,"JavaScript를 사용합니다. • React, Vue.js를 사용합니다... 랫폼 서비스 개발 자격요건 • 유관 업무 경력이 2년 이상이신 분 • React, Vue.js, Angular 등 최신 프레임 워크 중 하나 이상에서..."
https://kr.indeed.com/viewjob?jk=7dbaa95d22eacd29,"웹개발, 백엔드 외 경력 정규직",울산 남구,"당업무 자격요건 인원 [담당업무] 1. 스마트팩토리 솔루션 MES, ERP, SCM 시스템 분석/설계/개발 - React JS, Jsp, Java, Spring boot 2. 딥러닝, 머신러닝 기반 이미지 프로세싱 불량 검출..."
https://kr.indeed.com/viewjob?jk=18d26a50816ffa89,웹퍼블리셔 경력직,서울 강남구,"4년~8년) -정규직 -업무내용 : 웹퍼블리싱 & UI개발(html5,css,javascript) 우대사항 - react,vue 등의 프레임워크에 관심이 많고, 마크업에 대한 이해자 - UI구현에 거부감이 없는 분 - svn..."
https://kr.indeed.com/viewjob?jk=8b0e28fed99f6f28,Front-end 개발자 모집,성남 판교역,"CSS (SASS, LESS)웹 표준기술 숙련자(웹 퍼블리셔 역할 가능 해야 함). - Vue.js 또는 React 사용 - Vuex 또는 Mobx 라이브러리 사용 (상태 관리) - Javascript 최신 문법에 대한 이해..."
https://kr.indeed.com/viewjob?jk=776b38eee1e4edc5,프론트엔드 개발자,대전 유성구,"[직무내용] 1. 프론트엔드 개발자 - React, Redux - TypeScript - ES6 +WebPACK, Babel 등의 기술에 대한 이해와 경험이 있으면 좋습니다 웹 서비스의 실제 프로덕트 출시, 운영 경험이 있으면..."
https://kr.indeed.com/viewjob?jk=2971877f7538e1f7,[TGD] 플랫폼 서비스 Front-End 프로그래머 모집,성남 판교역,"3년 ~ 필수조건 1. 웹과 모바일의 프론트엔드를 개발하여 오픈 경험이 있는 사람. 2. node.js, React 등의 개발 환경을 효과적으로 다룰 수 있는 사람. 우대사항 1. cloud 기반으로 서비스를 개발하고 오픈..."
https://kr.indeed.com/viewjob?jk=dc388b0251e147df,웹프론트엔드 개발자,대한민국,"JavaScript를 사용합니다. • React, Vue.js를 사용합니다... 랫폼 서비스 개발 자격요건 • 유관 업무 경력이 2년 이상이신 분 • React, Vue.js, Angular 등 최신 프레임 워크 중 하나 이상에서..."
https://kr.indeed.com/viewjob?jk=e351c465eeadc021,[관계사] 키즈노트 웹 서비스 프론트엔드 개발(경력직),성남 분당구,"있습니다. ◆ 업무내용 키즈노트 웹 서비스 프론트엔드 개발 ◆ 지원자격 React, Redux에 대한 실무 경험과 이해 HTML, CSS, JS 등의... 기술 TypeScript, React, Redux Jest, Cypress..."
https://kr.indeed.com/viewjob?jk=99bee3c5d7e046c8,프론트엔드 경력 정규직,서울 서초구,"에 대한 이해가 깊으신 분 • React, Vue등의 프레임워크 경험이... 서비스 경험 • AWS 인프라 환경에서 서비스 개발 경험 • React나 React Native로 개발하고 서비스 출시한 경험 • 프로젝트 초기부터..."
https://kr.indeed.com/viewjob?jk=0f5d91b843f99acb,[지식베이스] 네이버 영화 서비스 개발 신입/경력사원,서울,"분 - Java&Spring Framework에 능숙하신 분 - HTML5, CSS, Javascript ( React/jQuery) 에 대한 기본적인 지식과 웹접근성에 대한 이해도가 높으신 분 - Git 을 활용한 개발 경험..."
https://kr.indeed.com/viewjob?jk=cac18e6bcbee5a21,Front end 개발자,성남 분당구,현재 사용하고 있는 기술 Javascript React Vue 4. 필요 역량 Javascript 5. 우대 사항 React.js 개발 경험이 풍부하신 분 React.js 라이브러리를 능숙하게 다룰 수 있으신 분 UI...
https://kr.indeed.com/viewjob?jk=b8cd6d87ad1379b4,[성동구] 모바일 앱개발 (팀장급),서울 성동구,"End - Web (Vue.js, React) [근무부서 및 직급/직책... 무기술: - Android/iOS 앱개발, 백엔드개발, vue.js, React 기타사항: - 모바일 서비스 개발 경험 필수 - 상용서비스 개발 경험..."
https://kr.indeed.com/viewjob?jk=00e81fc701933452,세계화 플랫폼 앱&웹 개발자,서울 강남구,"래밍, 앱개발 [우대사항] 전공계열: 공학계열 우대사항: 인근거주자 - Javascript에 능숙 하신분 - React를 이용한 웹 사이트 운영 혹은 개발 경험이 있으신 분 - 커뮤니티 서비스 (게시판 형 커뮤니티, 당근마켓..."
https://kr.indeed.com/viewjob?jk=f05f8e7f6fc34359,Front-end 경력직 개발자,인천 연수구,개발 - UX 중심 설계 및 구현 - 사용자 경험과 현리성 중심의 디자인 설계 및 구현 ［필수보유기술］ - React 개발 - JavaScript ES6 / HTML / CSS - SCSS / TypeScript / Nuxt...
https://kr.indeed.com/viewjob?jk=e156570e477aea13,백엔드 개발 정규직 경력사원(5년 이하),서울 관악구,"관련 오픈소스) 사용 개발 유경험자 - Front-End 개발 유경험자(jQuery, Bootstrap, React/AngularJS 등) [근무조건 및 환경] - 근무형태 : 정규직 - 근무요일/시간 : 주5일(월~금..."
https://kr.indeed.com/viewjob?jk=d4a27c87e1fe720f,(경력) 웹/앱 개발자,대구 중구,"js 경험 보유자 - DB 설계 및 운영 능력 보유자 - 다양한 프레임 워크 경험 보유자(JQuery, React, Vue, js, Angular, Bootstrap 등) [앱 개발자] - 서버 및 DB 운영 관리 가능자..."
https://kr.indeed.com/viewjob?jk=3f86b334f5dca660,백엔드 개발,성남 분당구,"환경에 대한 경험 - 대용량 트래픽 처리에 대한 경험 - PM역할 수행 - 프론트엔드 프레임워크 사용( React, Angular, Vue 등) - Spring Boot 로 서비스를 개발 - 대용량 데이터 경험..."
